### Possibly profitable unbalances ###
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/EUR', 'BTC/EUR'], 'Unbalance factor': 1.0000403359715715, 'Volume': 0.05062056, 'Sequence': 1, 'Time Stamp': '18-07-06-12-14'}
{'profit_coin': 'ETH', 'trair': ['ETC/ETH', 'ETC/USD', 'ETH/USD'], 'Unbalance factor': 1.0004731231830362, 'Volume': 0.057232500000000006, 'Sequence': 1, 'Time Stamp': '18-07-06-12-14'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/EUR', 'BTC/EUR'], 'Unbalance factor': 1.0005251648351647, 'Volume': 0.030749770000000003, 'Sequence': 1, 'Time Stamp': '18-07-06-12-14'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/USD', 'BTC/USD'], 'Unbalance factor': 1.0000095913295595, 'Volume': 0.013, 'Sequence': 1, 'Time Stamp': '18-07-06-12-14'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/USD', 'BTC/USD'], 'Unbalance factor': 1.0007312974989635, 'Volume': 0.04162875, 'Sequence': 1, 'Time Stamp': '18-07-06-12-15'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/USD', 'BTC/USD'], 'Unbalance factor': 1.0003017990880199, 'Volume': 0.02164695, 'Sequence': 1, 'Time Stamp': '18-07-06-12-15'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/USD', 'BTC/USD'], 'Unbalance factor': 1.0005785222560133, 'Volume': 0.04162875, 'Sequence': 1, 'Time Stamp': '18-07-06-12-16'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/USD', 'BTC/USD'], 'Unbalance factor': 1.0009936426497026, 'Volume': 0.04162875, 'Sequence': 1, 'Time Stamp': '18-07-06-12-16'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/EUR', 'BTC/EUR'], 'Unbalance factor': 1.0002016828478963, 'Volume': 0.0021080499999999998, 'Sequence': 1, 'Time Stamp': '18-07-06-12-17'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/USD', 'BTC/USD'], 'Unbalance factor': 1.0005139883833494, 'Volume': 0.0021080499999999998, 'Sequence': 1, 'Time Stamp': '18-07-06-12-17'}
{'profit_coin': 'ETH', 'trair': ['ETC/ETH', 'ETC/USD', 'ETH/USD'], 'Unbalance factor': 1.0000553658953608, 'Volume': 0.12932837, 'Sequence': 1, 'Time Stamp': '18-07-06-12-17'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/EUR', 'BTC/EUR'], 'Unbalance factor': 1.0005930053493273, 'Volume': 0.077, 'Sequence': 1, 'Time Stamp': '18-07-06-12-17'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/USD', 'BTC/USD'], 'Unbalance factor': 1.0006888157894736, 'Volume': 0.04153875, 'Sequence': 1, 'Time Stamp': '18-07-06-12-18'}
{'profit_coin': 'ETH', 'trair': ['ETC/ETH', 'ETC/USD', 'ETH/USD'], 'Unbalance factor': 1.0000770830958623, 'Volume': 0.12932837, 'Sequence': 1, 'Time Stamp': '18-07-06-12-18'}
{'profit_coin': 'ETH', 'trair': ['ETC/ETH', 'ETC/USD', 'ETH/USD'], 'Unbalance factor': 1.0001159876895018, 'Volume': 0.1371744, 'Sequence': 1, 'Time Stamp': '18-07-06-12-19'}
{'profit_coin': 'ETH', 'trair': ['ETC/ETH', 'ETC/USD', 'ETH/USD'], 'Unbalance factor': 1.0000454296785959, 'Volume': 0.712316176, 'Sequence': 1, 'Time Stamp': '18-07-06-12-19'}
{'profit_coin': 'ETH', 'trair': ['ETC/ETH', 'ETC/USD', 'ETH/USD'], 'Unbalance factor': 1.0000454296785959, 'Volume': 0.712316176, 'Sequence': 1, 'Time Stamp': '18-07-06-12-19'}
{'profit_coin': 'ETH', 'trair': ['ETC/ETH', 'ETC/USD', 'ETH/USD'], 'Unbalance factor': 1.0002164263322884, 'Volume': 0.10364288, 'Sequence': 1, 'Time Stamp': '18-07-06-12-20'}
{'profit_coin': 'ETH', 'trair': ['ETC/ETH', 'ETC/USD', 'ETH/USD'], 'Unbalance factor': 1.0002652955594824, 'Volume': 0.712316176, 'Sequence': 1, 'Time Stamp': '18-07-06-12-20'}
{'profit_coin': 'ETH', 'trair': ['ETC/ETH', 'ETC/USD', 'ETH/USD'], 'Unbalance factor': 1.0005449988597492, 'Volume': 0.712316176, 'Sequence': 1, 'Time Stamp': '18-07-06-12-21'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/EUR', 'BTC/EUR'], 'Unbalance factor': 1.0003062581063553, 'Volume': 0.01, 'Sequence': 1, 'Time Stamp': '18-07-06-12-21'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/EUR', 'BTC/EUR'], 'Unbalance factor': 1.0000727934500648, 'Volume': 0.11077, 'Sequence': 1, 'Time Stamp': '18-07-06-12-21'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/EUR', 'BTC/EUR'], 'Unbalance factor': 1.0002349586508836, 'Volume': 0.11077, 'Sequence': 1, 'Time Stamp': '18-07-06-12-22'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/USD', 'BTC/USD'], 'Unbalance factor': 1.0009244798890429, 'Volume': 0.11077, 'Sequence': 1, 'Time Stamp': '18-07-06-12-22'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/USD', 'BTC/USD'], 'Unbalance factor': 1.0010820924101567, 'Volume': 0.00210273, 'Sequence': 1, 'Time Stamp': '18-07-06-12-23'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/EUR', 'BTC/EUR'], 'Unbalance factor': 1.0003763388510223, 'Volume': 0.006197520000000001, 'Sequence': 1, 'Time Stamp': '18-07-06-12-24'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/USD', 'BTC/USD'], 'Unbalance factor': 1.0001732196339435, 'Volume': 0.006197520000000001, 'Sequence': 1, 'Time Stamp': '18-07-06-12-24'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/EUR', 'BTC/EUR'], 'Unbalance factor': 1.0002678906376765, 'Volume': 0.006197520000000001, 'Sequence': 1, 'Time Stamp': '18-07-06-12-24'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/EUR', 'BTC/EUR'], 'Unbalance factor': 1.0000307692307693, 'Volume': 0.018, 'Sequence': 1, 'Time Stamp': '18-07-06-12-26'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/EUR', 'BTC/EUR'], 'Unbalance factor': 1.0003554545454547, 'Volume': 0.01, 'Sequence': 1, 'Time Stamp': '18-07-06-12-27'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/EUR', 'BTC/EUR'], 'Unbalance factor': 1.0003554545454547, 'Volume': 0.01, 'Sequence': 1, 'Time Stamp': '18-07-06-12-27'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/USD', 'BTC/USD'], 'Unbalance factor': 1.0003087378640778, 'Volume': 0.041475, 'Sequence': 1, 'Time Stamp': '18-07-06-12-27'}
{'profit_coin': 'ETH', 'trair': ['ETC/ETH', 'ETC/USD', 'ETH/USD'], 'Unbalance factor': 1.000168111175925, 'Volume': 0.120265445, 'Sequence': 0, 'Time Stamp': '18-07-06-12-27'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/EUR', 'BTC/EUR'], 'Unbalance factor': 1.000680350763235, 'Volume': 0.01, 'Sequence': 1, 'Time Stamp': '18-07-06-12-27'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/USD', 'BTC/USD'], 'Unbalance factor': 1.0005862930077694, 'Volume': 0.0543046, 'Sequence': 1, 'Time Stamp': '18-07-06-12-27'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/EUR', 'BTC/EUR'], 'Unbalance factor': 1.0023080026024724, 'Volume': 0.001, 'Sequence': 1, 'Time Stamp': '18-07-06-12-28'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/USD', 'BTC/USD'], 'Unbalance factor': 1.0010029146426094, 'Volume': 0.0103964, 'Sequence': 1, 'Time Stamp': '18-07-06-12-28'}
{'profit_coin': 'ETH', 'trair': ['ETC/ETH', 'ETC/USD', 'ETH/USD'], 'Unbalance factor': 1.000762247910349, 'Volume': 0.051717384000000005, 'Sequence': 0, 'Time Stamp': '18-07-06-12-28'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/EUR', 'BTC/EUR'], 'Unbalance factor': 1.001330776730582, 'Volume': 0.001, 'Sequence': 1, 'Time Stamp': '18-07-06-12-28'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/USD', 'BTC/USD'], 'Unbalance factor': 1.001558950145813, 'Volume': 0.0543046, 'Sequence': 1, 'Time Stamp': '18-07-06-12-28'}
{'profit_coin': 'ETH', 'trair': ['ETC/ETH', 'ETC/USD', 'ETH/USD'], 'Unbalance factor': 1.0000822115057302, 'Volume': 0.11331441, 'Sequence': 1, 'Time Stamp': '18-07-06-12-46'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/EUR', 'BTC/EUR'], 'Unbalance factor': 1.0002674208218287, 'Volume': 0.0015482599999999999, 'Sequence': 1, 'Time Stamp': '18-07-06-12-53'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/EUR', 'BTC/EUR'], 'Unbalance factor': 1.0003213058307614, 'Volume': 0.0015482599999999999, 'Sequence': 1, 'Time Stamp': '18-07-06-12-54'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/USD', 'BTC/USD'], 'Unbalance factor': 1.0000668891355626, 'Volume': 0.0015482599999999999, 'Sequence': 1, 'Time Stamp': '18-07-06-12-54'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/EUR', 'BTC/EUR'], 'Unbalance factor': 1.0003931525093388, 'Volume': 0.0015482599999999999, 'Sequence': 1, 'Time Stamp': '18-07-06-12-54'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/EUR', 'BTC/EUR'], 'Unbalance factor': 1.000698500893292, 'Volume': 0.0015482599999999999, 'Sequence': 1, 'Time Stamp': '18-07-06-12-55'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/USD', 'BTC/USD'], 'Unbalance factor': 1.0002036343459564, 'Volume': 0.0015482599999999999, 'Sequence': 1, 'Time Stamp': '18-07-06-12-55'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/EUR', 'BTC/EUR'], 'Unbalance factor': 1.0005368458664932, 'Volume': 0.0015482599999999999, 'Sequence': 1, 'Time Stamp': '18-07-06-12-55'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/USD', 'BTC/USD'], 'Unbalance factor': 1.000018241575371, 'Volume': 0.0015482599999999999, 'Sequence': 1, 'Time Stamp': '18-07-06-12-55'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/EUR', 'BTC/EUR'], 'Unbalance factor': 1.0005188841968489, 'Volume': 0.0015482599999999999, 'Sequence': 1, 'Time Stamp': '18-07-06-12-55'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/USD', 'BTC/USD'], 'Unbalance factor': 1.0002022770766883, 'Volume': 0.0015482599999999999, 'Sequence': 1, 'Time Stamp': '18-07-06-12-55'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/EUR', 'BTC/EUR'], 'Unbalance factor': 1.0004201086956521, 'Volume': 0.01, 'Sequence': 1, 'Time Stamp': '18-07-06-12-56'}
{'profit_coin': 'ETH', 'trair': ['ETC/ETH', 'ETC/USD', 'ETH/USD'], 'Unbalance factor': 1.0001973927373982, 'Volume': 0.76328, 'Sequence': 1, 'Time Stamp': '18-07-06-12-56'}
{'profit_coin': 'ETH', 'trair': ['ETC/ETH', 'ETC/USD', 'ETH/USD'], 'Unbalance factor': 1.0006393476531423, 'Volume': 0.10380608, 'Sequence': 1, 'Time Stamp': '18-07-06-12-57'}
{'profit_coin': 'ETH', 'trair': ['ETC/ETH', 'ETC/USD', 'ETH/USD'], 'Unbalance factor': 1.0007661067834195, 'Volume': 0.5854739239999999, 'Sequence': 1, 'Time Stamp': '18-07-06-12-57'}
{'profit_coin': 'ETH', 'trair': ['ETC/ETH', 'ETC/USD', 'ETH/USD'], 'Unbalance factor': 1.0004816689404274, 'Volume': 0.21226816799999998, 'Sequence': 1, 'Time Stamp': '18-07-06-12-57'}
{'profit_coin': 'ETH', 'trair': ['ETC/ETH', 'ETC/USD', 'ETH/USD'], 'Unbalance factor': 1.00052505684402, 'Volume': 0.21226816799999998, 'Sequence': 1, 'Time Stamp': '18-07-06-12-58'}
{'profit_coin': 'ETH', 'trair': ['ETC/ETH', 'ETC/USD', 'ETH/USD'], 'Unbalance factor': 1.0006716198704102, 'Volume': 0.21226816799999998, 'Sequence': 1, 'Time Stamp': '18-07-06-12-58'}
{'profit_coin': 'ETH', 'trair': ['ETC/ETH', 'ETC/USD', 'ETH/USD'], 'Unbalance factor': 1.0008422761639473, 'Volume': 0.21226816799999998, 'Sequence': 1, 'Time Stamp': '18-07-06-12-59'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/USD', 'BTC/USD'], 'Unbalance factor': 1.0000428300611481, 'Volume': 0.0414675, 'Sequence': 0, 'Time Stamp': '18-07-06-12-59'}
{'profit_coin': 'ETH', 'trair': ['ETC/ETH', 'ETC/USD', 'ETH/USD'], 'Unbalance factor': 1.0007853842655752, 'Volume': 0.130597208, 'Sequence': 1, 'Time Stamp': '18-07-06-12-59'}
{'profit_coin': 'ETH', 'trair': ['ETC/ETH', 'ETC/USD', 'ETH/USD'], 'Unbalance factor': 1.0004875417661099, 'Volume': 0.10380608, 'Sequence': 1, 'Time Stamp': '18-07-06-13-00'}
{'profit_coin': 'ETH', 'trair': ['ETC/ETH', 'ETC/USD', 'ETH/USD'], 'Unbalance factor': 1.0013333174224344, 'Volume': 0.10380608, 'Sequence': 1, 'Time Stamp': '18-07-06-13-00'}
{'profit_coin': 'ETH', 'trair': ['ETC/ETH', 'ETC/USD', 'ETH/USD'], 'Unbalance factor': 1.0005385475622228, 'Volume': 0.10364288, 'Sequence': 1, 'Time Stamp': '18-07-06-13-00'}
{'profit_coin': 'ETH', 'trair': ['EOS/ETH', 'EOS/USD', 'ETH/USD'], 'Unbalance factor': 1.0003923680949005, 'Volume': 0.16447547200000004, 'Sequence': 0, 'Time Stamp': '18-07-06-13-04'}
