### Possibly profitable unbalances ###
{'profit_coin': 'BTC', 'trair': ['CAN/BTC', 'CAN/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0040356643177446, 'Volume': 'NA', 'Sequence': 'straight', 'Time Stamp': '18-07-08-22-32'}
{'profit_coin': 'BTC', 'trair': ['DRGN/BTC', 'DRGN/NEO', 'NEO/BTC'], 'Unbalance factor': 1.004789142857143, 'Volume': 'NA', 'Sequence': 'straight', 'Time Stamp': '18-07-08-22-33'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'NULS/ETH', 'NULS/BTC'], 'Unbalance factor': 1.0034894531495222, 'Volume': 'NA', 'Sequence': 'inverse', 'Time Stamp': '18-07-08-22-35'}
{'profit_coin': 'BTC', 'trair': ['CAN/BTC', 'CAN/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0040633388853297, 'Volume': 'NA', 'Sequence': 'straight', 'Time Stamp': '18-07-08-22-39'}
{'profit_coin': 'BTC', 'trair': ['DOCK/BTC', 'DOCK/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0037626971843547, 'Volume': 'NA', 'Sequence': 'inverse', 'Time Stamp': '18-07-08-22-40'}
{'profit_coin': 'BTC', 'trair': ['DRGN/BTC', 'DRGN/NEO', 'NEO/BTC'], 'Unbalance factor': 1.0050034285714287, 'Volume': 'NA', 'Sequence': 'straight', 'Time Stamp': '18-07-08-22-40'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'ETN/ETH', 'ETN/BTC'], 'Unbalance factor': 1.0069553266283253, 'Volume': 'NA', 'Sequence': 'straight', 'Time Stamp': '18-07-08-22-41'}
{'profit_coin': 'BTC', 'trair': ['CAN/BTC', 'CAN/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0036043561819343, 'Volume': 'NA', 'Sequence': 'straight', 'Time Stamp': '18-07-08-22-47'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'MWAT/ETH', 'MWAT/BTC'], 'Unbalance factor': 1.0043616800331487, 'Volume': 'NA', 'Sequence': 'straight', 'Time Stamp': '18-07-08-22-50'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'LEND/ETH', 'LEND/BTC'], 'Unbalance factor': 1.003982037207365, 'Volume': 'NA', 'Sequence': 'straight', 'Time Stamp': '18-07-08-22-57'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'MWAT/ETH', 'MWAT/BTC'], 'Unbalance factor': 1.006834592634806, 'Volume': 'NA', 'Sequence': 'straight', 'Time Stamp': '18-07-08-22-57'}
{'profit_coin': 'BTC', 'trair': ['AIX/BTC', 'AIX/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0049767149286173, 'Volume': 'NA', 'Sequence': 'inverse', 'Time Stamp': '18-07-08-23-01'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'LEND/ETH', 'LEND/BTC'], 'Unbalance factor': 1.0050653954386297, 'Volume': 'NA', 'Sequence': 'straight', 'Time Stamp': '18-07-08-23-05'}
{'profit_coin': 'BTC', 'trair': ['AIX/BTC', 'AIX/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0085050759911343, 'Volume': 'NA', 'Sequence': 'inverse', 'Time Stamp': '18-07-08-23-16'}
{'profit_coin': 'BTC', 'trair': ['NEO/BTC', 'TNC/NEO', 'TNC/BTC'], 'Unbalance factor': 1.0030425409836066, 'Volume': 'NA', 'Sequence': 'inverse', 'Time Stamp': '18-07-08-23-23'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'POWR/ETH', 'POWR/BTC'], 'Unbalance factor': 1.0032501688555349, 'Volume': 'NA', 'Sequence': 'inverse', 'Time Stamp': '18-07-08-23-28'}
{'profit_coin': 'BTC', 'trair': ['NEO/BTC', 'TNC/NEO', 'TNC/BTC'], 'Unbalance factor': 1.0095589547325103, 'Volume': 'NA', 'Sequence': 'inverse', 'Time Stamp': '18-07-08-23-31'}
{'profit_coin': 'ETH', 'trair': ['NEO/ETH', 'TNC/NEO', 'TNC/ETH'], 'Unbalance factor': 1.003087537091988, 'Volume': 'NA', 'Sequence': 'inverse', 'Time Stamp': '18-07-08-23-31'}
{'profit_coin': 'BTC', 'trair': ['AXP/BTC', 'AXP/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0079380863221885, 'Volume': 'NA', 'Sequence': 'straight', 'Time Stamp': '18-07-08-23-39'}
