### Possibly profitable unbalances ###
{'profit_coin': 'BTC', 'trair': ['CAPP/BTC', 'CAPP/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0041722494510297, 'Volume': 2.728e-07, 'Sequence': 'inverse', 'Time Stamp': '18-07-09-19-48'}
{'profit_coin': 'BTC', 'trair': ['KCS/BTC', 'NEO/KCS', 'NEO/BTC'], 'Unbalance factor': 1.004354332209828, 'Volume': 1.7588e-05, 'Sequence': 'inverse', 'Time Stamp': '18-07-09-19-54'}
{'profit_coin': 'BTC', 'trair': ['BTC/USDT', 'HAV/USDT', 'HAV/BTC'], 'Unbalance factor': 1.0101878020403472, 'Volume': 0.041750226614097996, 'Sequence': 'inverse', 'Time Stamp': '18-07-09-19-55'}
{'profit_coin': 'ETH', 'trair': ['ETH/USDT', 'HAV/USDT', 'HAV/ETH'], 'Unbalance factor': 1.0076740992677016, 'Volume': 1.1, 'Sequence': 'inverse', 'Time Stamp': '18-07-09-20-01'}
{'profit_coin': 'BTC', 'trair': ['BTC/USDT', 'HAV/USDT', 'HAV/BTC'], 'Unbalance factor': 1.0104826984648114, 'Volume': 0.02644157, 'Sequence': 'inverse', 'Time Stamp': '18-07-09-20-03'}
{'profit_coin': 'BTC', 'trair': ['CAT/BTC', 'CAT/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0123586255172412, 'Volume': 7.4834e-08, 'Sequence': 'straight', 'Time Stamp': '18-07-09-20-04'}
{'profit_coin': 'ETH', 'trair': ['ETH/USDT', 'HAV/USDT', 'HAV/ETH'], 'Unbalance factor': 1.0134739851945198, 'Volume': 3.0657563000000003, 'Sequence': 'inverse', 'Time Stamp': '18-07-09-20-09'}
{'profit_coin': 'BTC', 'trair': ['BTC/USDT', 'HAV/USDT', 'HAV/BTC'], 'Unbalance factor': 1.0120221248974892, 'Volume': 0.066485213502114, 'Sequence': 'inverse', 'Time Stamp': '18-07-09-20-11'}
{'profit_coin': 'BTC', 'trair': ['DRGN/BTC', 'DRGN/NEO', 'NEO/BTC'], 'Unbalance factor': 1.004190543932645, 'Volume': 4.98015e-06, 'Sequence': 'inverse', 'Time Stamp': '18-07-09-20-13'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'LTC/ETH', 'LTC/BTC'], 'Unbalance factor': 1.003829696991436, 'Volume': 3.550683e-08, 'Sequence': 'inverse', 'Time Stamp': '18-07-09-20-15'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'UTK/ETH', 'UTK/BTC'], 'Unbalance factor': 1.0045591150260642, 'Volume': 1.175e-09, 'Sequence': 'straight', 'Time Stamp': '18-07-09-20-17'}
{'profit_coin': 'ETH', 'trair': ['ETH/USDT', 'LTC/USDT', 'LTC/ETH'], 'Unbalance factor': 1.0062262139330371, 'Volume': 0.00263835752, 'Sequence': 'straight', 'Time Stamp': '18-07-09-20-17'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'LTC/ETH', 'LTC/BTC'], 'Unbalance factor': 1.0032067335089223, 'Volume': 0.0010892270400500001, 'Sequence': 'inverse', 'Time Stamp': '18-07-09-20-23'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'UTK/ETH', 'UTK/BTC'], 'Unbalance factor': 1.004778703398675, 'Volume': 1.175e-09, 'Sequence': 'straight', 'Time Stamp': '18-07-09-20-25'}
{'profit_coin': 'ETH', 'trair': ['ETH/USDT', 'HAV/USDT', 'HAV/ETH'], 'Unbalance factor': 1.0069569454817715, 'Volume': 0.0030837, 'Sequence': 'straight', 'Time Stamp': '18-07-09-20-25'}
{'profit_coin': 'ETH', 'trair': ['ETH/USDT', 'LTC/USDT', 'LTC/ETH'], 'Unbalance factor': 1.0047890304064564, 'Volume': 0.00263835752, 'Sequence': 'straight', 'Time Stamp': '18-07-09-20-25'}
{'profit_coin': 'BTC', 'trair': ['LOOM/BTC', 'LOOM/NEO', 'NEO/BTC'], 'Unbalance factor': 1.0031275772451633, 'Volume': 5.3345919999999995e-06, 'Sequence': 'straight', 'Time Stamp': '18-07-09-20-26'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'LTC/ETH', 'LTC/BTC'], 'Unbalance factor': 1.0031050370953012, 'Volume': 0.0010895200134499999, 'Sequence': 'inverse', 'Time Stamp': '18-07-09-20-30'}
