### Possibly profitable unbalances ###
{'profit_coin': 'BTC', 'trair': ['BTC/USDT', 'EOS/USDT', 'EOS/BTC'], 'Unbalance factor': 1.0052219774147986, 'Volume': 0.06638799, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-13-33'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'KCS/ETH', 'KCS/BTC'], 'Unbalance factor': 1.003155766099288, 'Volume': 0.008984731164, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-13-36'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'TIME/ETH', 'TIME/BTC'], 'Unbalance factor': 1.0072045076443932, 'Volume': 0.00359804192832, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-13-38'}
{'profit_coin': 'ETH', 'trair': ['ETH/USDT', 'NEO/USDT', 'NEO/ETH'], 'Unbalance factor': 1.004274370206348, 'Volume': 0.008344039000000001, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-13-39'}
{'profit_coin': 'ETH', 'trair': ['ETH/USDT', 'TKY/USDT', 'TKY/ETH'], 'Unbalance factor': 1.0074917658621507, 'Volume': 0.0435434982, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-13-39'}
{'profit_coin': 'BTC', 'trair': ['BTC/USDT', 'ETH/USDT', 'ETH/BTC'], 'Unbalance factor': 1.0051380987323397, 'Volume': 0.0045903012378840004, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-13-41'}
{'profit_coin': 'BTC', 'trair': ['BTC/USDT', 'KCS/USDT', 'KCS/BTC'], 'Unbalance factor': 1.006799365079365, 'Volume': 0.6299999999, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-13-41'}
{'profit_coin': 'BTC', 'trair': ['CBC/BTC', 'CBC/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0036757088429116, 'Volume': 0.001202878584, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-13-41'}
{'profit_coin': 'BTC', 'trair': ['DGB/BTC', 'DGB/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0030455464469181, 'Volume': 0.009684, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-13-42'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'OCN/ETH', 'OCN/BTC'], 'Unbalance factor': 1.0038673233644861, 'Volume': 0.113991281065104, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-13-45'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'PLAY/ETH', 'PLAY/BTC'], 'Unbalance factor': 1.0058801561387254, 'Volume': 2.17e-10, 'Sequence': 'straight', 'Time Stamp': '18-07-10-13-45'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'ZINC/ETH', 'ZINC/BTC'], 'Unbalance factor': 1.0047227075338763, 'Volume': 0.002076789304579, 'Sequence': 'straight', 'Time Stamp': '18-07-10-13-47'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'OMX/ETH', 'OMX/BTC'], 'Unbalance factor': 1.0100339706349206, 'Volume': 3.276e-09, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-13-53'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'OPEN/ETH', 'OPEN/BTC'], 'Unbalance factor': 1.0046681856159825, 'Volume': 1.18e-09, 'Sequence': 'straight', 'Time Stamp': '18-07-10-13-53'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'PLAY/ETH', 'PLAY/BTC'], 'Unbalance factor': 1.0177655030407222, 'Volume': 2.21e-10, 'Sequence': 'straight', 'Time Stamp': '18-07-10-13-53'}
{'profit_coin': 'BTC', 'trair': ['CBC/BTC', 'CBC/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0036775514859775, 'Volume': 1.322398e-06, 'Sequence': 'straight', 'Time Stamp': '18-07-10-13-58'}
{'profit_coin': 'BTC', 'trair': ['DCC/BTC', 'DCC/ETH', 'ETH/BTC'], 'Unbalance factor': 1.005400721656051, 'Volume': 8.033049999999999e-07, 'Sequence': 'straight', 'Time Stamp': '18-07-10-13-58'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'POLL/ETH', 'POLL/BTC'], 'Unbalance factor': 1.0052898256951313, 'Volume': 0.001727126685, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-14-01'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'QSP/ETH', 'QSP/BTC'], 'Unbalance factor': 1.0076914565292219, 'Volume': 5.2284225e-07, 'Sequence': 'straight', 'Time Stamp': '18-07-10-14-02'}
