### Possibly profitable unbalances ###
{'profit_coin': 'BTC', 'trair': ['BTC/USDT', 'HAV/USDT', 'HAV/BTC'], 'Unbalance factor': 1.0081528427920001, 'Volume': 0.0004308438857408, 'Sequence': 'inverse', 'Time Stamp': '18-07-11-08-55'}
{'profit_coin': 'BTC', 'trair': ['COFI/BTC', 'COFI/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0044569666666667, 'Volume': 4.845e-09, 'Sequence': 'straight', 'Time Stamp': '18-07-11-08-55'}
{'profit_coin': 'BTC', 'trair': ['DAG/BTC', 'DAG/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0596819651090341, 'Volume': 0.000389173017, 'Sequence': 'straight', 'Time Stamp': '18-07-11-08-56'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'POLL/ETH', 'POLL/BTC'], 'Unbalance factor': 1.0031526441105327, 'Volume': 6.7960519999999996e-06, 'Sequence': 'straight', 'Time Stamp': '18-07-11-09-02'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'SOUL/ETH', 'SOUL/BTC'], 'Unbalance factor': 1.003534093023256, 'Volume': 0.0015086343599999999, 'Sequence': 'inverse', 'Time Stamp': '18-07-11-09-02'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'TNC/ETH', 'TNC/BTC'], 'Unbalance factor': 1.006347710232558, 'Volume': 0.0017390699519999999, 'Sequence': 'inverse', 'Time Stamp': '18-07-11-09-03'}
{'profit_coin': 'BTC', 'trair': ['CBC/BTC', 'CBC/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0031476307622091, 'Volume': 4.669885e-06, 'Sequence': 'straight', 'Time Stamp': '18-07-11-09-06'}
{'profit_coin': 'BTC', 'trair': ['DAG/BTC', 'DAG/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0878746076433121, 'Volume': 0.00042441025, 'Sequence': 'straight', 'Time Stamp': '18-07-11-09-07'}
{'profit_coin': 'BTC', 'trair': ['DGB/BTC', 'DGB/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0073001511811022, 'Volume': 2.30048e-07, 'Sequence': 'straight', 'Time Stamp': '18-07-11-09-07'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'TNC/ETH', 'TNC/BTC'], 'Unbalance factor': 1.0034664849187933, 'Volume': 0.0004767651, 'Sequence': 'inverse', 'Time Stamp': '18-07-11-09-13'}
{'profit_coin': 'BTC', 'trair': ['BTC/USDT', 'DENT/USDT', 'DENT/BTC'], 'Unbalance factor': 1.0163130318457136, 'Volume': 0.262016855876, 'Sequence': 'inverse', 'Time Stamp': '18-07-11-09-16'}
{'profit_coin': 'BTC', 'trair': ['CBC/BTC', 'CBC/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0033835047923323, 'Volume': 4.68072e-06, 'Sequence': 'straight', 'Time Stamp': '18-07-11-09-17'}
{'profit_coin': 'BTC', 'trair': ['DAG/BTC', 'DAG/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0862975579617835, 'Volume': 0.002219574626, 'Sequence': 'straight', 'Time Stamp': '18-07-11-09-18'}
{'profit_coin': 'USDT', 'trair': ['DENT/USDT', 'DENT/NEO', 'NEO/USDT'], 'Unbalance factor': 1.0059456988327928, 'Volume': 0.004376, 'Sequence': 'inverse', 'Time Stamp': '18-07-11-09-18'}
