### Possibly profitable unbalances ###
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'KICK/ETH', 'KICK/BTC'], 'Unbalance factor': 1.0041756610824744, 'Volume': 7.020183000000001e-06, 'Sequence': 'inverse', 'Time Stamp': '18-07-15-16-18'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'KICK/ETH', 'KICK/BTC'], 'Unbalance factor': 1.0041756610824744, 'Volume': 7.020183000000001e-06, 'Sequence': 'inverse', 'Time Stamp': '18-07-15-16-18'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'MOBI/ETH', 'MOBI/BTC'], 'Unbalance factor': 1.0081202741514363, 'Volume': 2.44737e-06, 'Sequence': 'inverse', 'Time Stamp': '18-07-15-16-18'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'MOBI/ETH', 'MOBI/BTC'], 'Unbalance factor': 1.0078332114882507, 'Volume': 2.44737e-06, 'Sequence': 'inverse', 'Time Stamp': '18-07-15-16-19'}
{'profit_coin': 'BTC', 'trair': ['BTC/USDT', 'CS/USDT', 'CS/BTC'], 'Unbalance factor': 1.0038855503843516, 'Volume': 0.01113773, 'Sequence': 'inverse', 'Time Stamp': '18-07-15-16-23'}
{'profit_coin': 'BTC', 'trair': ['BTC/USDT', 'HAV/USDT', 'HAV/BTC'], 'Unbalance factor': 1.0033627849079056, 'Volume': 0.039831028555999196, 'Sequence': 'inverse', 'Time Stamp': '18-07-15-16-23'}
{'profit_coin': 'ETH', 'trair': ['ETH/USDT', 'HAV/USDT', 'HAV/ETH'], 'Unbalance factor': 1.006257268196174, 'Volume': 1.2702, 'Sequence': 'inverse', 'Time Stamp': '18-07-15-16-29'}
{'profit_coin': 'BTC', 'trair': ['BTC/USDT', 'HAV/USDT', 'HAV/BTC'], 'Unbalance factor': 1.005513927694522, 'Volume': 0.0374530351643856, 'Sequence': 'inverse', 'Time Stamp': '18-07-15-16-31'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'RHOC/ETH', 'RHOC/BTC'], 'Unbalance factor': 1.0047178597029702, 'Volume': 0.0070163954445, 'Sequence': 'inverse', 'Time Stamp': '18-07-15-16-36'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'TRAC/ETH', 'TRAC/BTC'], 'Unbalance factor': 1.0030856942890167, 'Volume': 1.5460000000000002e-09, 'Sequence': 'straight', 'Time Stamp': '18-07-15-16-36'}
{'profit_coin': 'ETH', 'trair': ['ETH/USDT', 'HAV/USDT', 'HAV/ETH'], 'Unbalance factor': 1.0035016814733775, 'Volume': 0.879796421113344, 'Sequence': 'inverse', 'Time Stamp': '18-07-15-16-37'}
{'profit_coin': 'BTC', 'trair': ['BTC/USDT', 'HAV/USDT', 'HAV/BTC'], 'Unbalance factor': 1.003534858731412, 'Volume': 5.809493299999999e-07, 'Sequence': 'inverse', 'Time Stamp': '18-07-15-16-39'}
{'profit_coin': 'BTC', 'trair': ['BTC/USDT', 'HAV/USDT', 'HAV/BTC'], 'Unbalance factor': 1.003534858731412, 'Volume': 5.809493299999999e-07, 'Sequence': 'inverse', 'Time Stamp': '18-07-15-16-47'}
{'profit_coin': 'BTC', 'trair': ['EDR/BTC', 'EDR/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0037475132429134, 'Volume': 8.02e-10, 'Sequence': 'inverse', 'Time Stamp': '18-07-15-16-49'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'INS/ETH', 'INS/BTC'], 'Unbalance factor': 1.0291654113202948, 'Volume': 6.301407e-05, 'Sequence': 'straight', 'Time Stamp': '18-07-15-16-50'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'NEO/ETH', 'NEO/BTC'], 'Unbalance factor': 1.0033806331296828, 'Volume': 7.015544999999999e-08, 'Sequence': 'inverse', 'Time Stamp': '18-07-15-16-50'}
